Starting instrumented solve...
Solve Time: 0.6994s
Residual Calls: 1
Jacobian Calls: 5
Success: True
         829327 function calls (806698 primitive calls) in 1.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       83    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       86    0.000    0.000    0.002    0.000 auxfuncs.py:602(l_and)
        1    0.000    0.000    0.002    0.002 _csr.py:1(<module>)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
     1273    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.002    0.002 _decomp_lu.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _logsumexp.py:1(<module>)
     3934    0.001    0.000    0.002    0.000 copy.py:191(_deepcopy_list)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _decomp_qr.py:1(<module>)
       21    0.000    0.000    0.001    0.000 dataclasses.py:661(_cmp_fn)
    45/12    0.000    0.000    0.001    0.000 typing.py:1294(__getitem__)
        1    0.000    0.000    0.001    0.001 capi_maps.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _decomp_cholesky.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _decomp_qz.py:1(<module>)
      388    0.001    0.000    0.001    0.000 typing.py:175(_type_check)
 1547/474    0.001    0.000    0.001    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.001    0.001 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base64mime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 secrets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 minimize_trustregion_constr.py:1(<module>)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
        1    0.000    0.000    0.001    0.001 _policybase.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pressure_loss.py:1(<module>)
      528    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
       54    0.000    0.000    0.001    0.000 typing.py:521(__getitem__)
        2    0.000    0.000    0.001    0.001 _helpers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pep440.py:285(Version)
        1    0.000    0.000    0.001    0.001 _kdtree.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _direct_py.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _special_matrices.py:1(<module>)
       28    0.000    0.000    0.001    0.000 _basic.py:18(_dispatch)
    20258    0.001    0.000    0.001    0.000 {built-in method builtins.id}
       28    0.000    0.000    0.001    0.000 _backend.py:174(generate_multimethod)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
    12172    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       53    0.000    0.000    0.001    0.000 typing.py:753(Literal)
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _decomp_schur.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _solvers.py:1(<module>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(exec_module)
       15    0.000    0.000    0.001    0.000 typing.py:2795(_make_nmtuple)
       16    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      113    0.000    0.000    0.001    0.000 _compiler.py:516(_compile_info)
        1    0.000    0.000    0.001    0.001 _docscrape.py:112(NumpyDocString)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _dual_annealing.py:1(<module>)
       92    0.000    0.000    0.001    0.000 auxfuncs.py:618(l_not)
        1    0.000    0.000    0.001    0.001 lsq_linear.py:1(<module>)
      478    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     3216    0.001    0.000    0.001    0.000 _parser.py:176(append)
     1361    0.001    0.000    0.001    0.000 typing.py:1215(__setattr__)
     1220    0.001    0.000    0.001    0.000 _docscrape.py:188(_strip)
      226    0.000    0.000    0.001    0.000 enum.py:1561(__and__)
       28    0.000    0.000    0.001    0.000 _backend.py:312(get_defaults)
        1    0.000    0.000    0.001    0.001 _linprog_rs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _isotonic.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
      361    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.001    0.001 _root_scalar.py:1(<module>)
       20    0.000    0.000    0.001    0.000 dataclasses.py:627(_repr_fn)
        2    0.000    0.000    0.001    0.001 linalg.py:1(<module>)
        1    0.000    0.000    0.001    0.001 blas.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _meta.py:1(<module>)
     7414    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 iterative.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _spherical_voronoi.py:1(<module>)
        2    0.000    0.000    0.001    0.001 _procrustes.py:1(<module>)
      477    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        1    0.000    0.000    0.001    0.001 _char_codes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:152(EntryPoint)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
        1    0.000    0.000    0.001    0.001 compressible.py:1(<module>)
        1    0.000    0.000    0.001    0.001 header.py:1(<module>)
      197    0.000    0.000    0.001    0.000 _array_api.py:784(xp_capabilities)
        1    0.000    0.000    0.001    0.001 _nonlin.py:1(<module>)
     4136    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
    45/12    0.000    0.000    0.001    0.000 typing.py:1326(_determine_new_args)
    45/12    0.000    0.000    0.001    0.000 typing.py:1355(_make_substitution)
     1431    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.001    0.001 cb_rules.py:1(<module>)
      327    0.000    0.000    0.001    0.000 typing.py:730(<genexpr>)
      657    0.000    0.000    0.001    0.000 inspect.py:2743(__init__)
        1    0.000    0.000    0.001    0.001 _meta.py:8(PackageMetadata)
        1    0.000    0.000    0.001    0.001 _slsqp_py.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _svdp.py:1(<module>)
        1    0.000    0.000    0.001    0.001 feedparser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _lil.py:1(<module>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(create_module)
     7887    0.001    0.000    0.001    0.000 _parser.py:240(__next)
        4    0.000    0.000    0.001    0.000 enum.py:1707(convert_class)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _flow_solution.py:1(<module>)
      205    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.001    0.001 arpack.py:1(<module>)
        1    0.000    0.000    0.001    0.001 trf_linear.py:1(<module>)
        6    0.000    0.000    0.001    0.000 __init__.py:678(children)
        1    0.000    0.000    0.001    0.001 linsolve.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _tnc.py:1(<module>)
       14    0.000    0.000    0.001    0.000 core.py:113(doc_note)
      477    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
      197    0.000    0.000    0.001    0.000 typing.py:1174(__init__)
        7    0.000    0.000    0.001    0.000 _nonlin.py:1598(_nonlin_wrapper)
        1    0.000    0.000    0.001    0.001 _constants.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _zeros_py.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _expm_frechet.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _complex.py:1(<module>)
